2026-03-22 12:47:04 | INFO | __main__ | Creating output directories if they do not exist...
2026-03-22 12:47:04 | INFO | __main__ | Step 1 — Loading raw data...
2026-03-22 12:47:04 | INFO | load_data | Loading raw data from: data\raw\train.csv
2026-03-22 12:47:04 | INFO | utils | Loading CSV from: data\raw\train.csv
2026-03-22 12:47:05 | INFO | utils | Loaded 630000 rows x 15 columns.
2026-03-22 12:47:05 | INFO | __main__ | Step 2 — Cleaning data...
2026-03-22 12:47:05 | INFO | clean_data | Cleaning raw dataframe...
2026-03-22 12:47:05 | INFO | __main__ | Step 3 — Saving processed CSV...
2026-03-22 12:47:05 | INFO | utils | Saving CSV to: data\processed\clean.csv
2026-03-22 12:47:07 | INFO | utils | Saved 630000 rows to data\processed\clean.csv
2026-03-22 12:47:07 | INFO | __main__ | Step 4 — Validating cleaned data...
2026-03-22 12:47:07 | INFO | validate | Running data validation checks...
2026-03-22 12:47:07 | INFO | validate | Shape: 630000 rows x 15 columns.
2026-03-22 12:47:07 | INFO | validate | All 15 required columns present.
2026-03-22 12:47:07 | INFO | validate | Validation passed.
2026-03-22 12:47:07 | INFO | __main__ | Step 5 — Splitting into train and test sets...
2026-03-22 12:47:08 | INFO | __main__ | Train size: 504000 rows | Test size: 126000 rows
2026-03-22 12:47:08 | INFO | __main__ | Step 6 — Verifying feature columns exist in training data
2026-03-22 12:47:08 | INFO | __main__ | Step 7 — Building feature preprocessor recipe...
2026-03-22 12:47:08 | INFO | features | Building feature preprocessor recipe...
2026-03-22 12:47:08 | INFO | __main__ | Step 8 — Training model...
2026-03-22 12:47:08 | INFO | kmeans.kmeans_train | Training KMeans Pipeline
2026-03-22 12:47:12 | INFO | dtrees.dtrees_train | Building Decision Tree pipeline...
2026-03-22 12:47:12 | INFO | dtrees.dtrees_train | Fitting on 504000 samples...
2026-03-22 12:47:14 | INFO | dtrees.dtrees_train | Training complete.
2026-03-22 12:47:14 | INFO | logit_regression.logit_train | Fitting model Pipeline (preprocess -> estimator)
2026-03-22 12:48:29 | INFO | __main__ | Step 9 — Saving model artifact...
2026-03-22 12:48:29 | INFO | utils | Saving model to: models\kmeans_model.joblib
2026-03-22 12:48:29 | INFO | utils | Model saved to models\kmeans_model.joblib
2026-03-22 12:48:29 | INFO | utils | Saving model to: models\dtrees_model.joblib
2026-03-22 12:48:29 | INFO | utils | Model saved to models\dtrees_model.joblib
2026-03-22 12:48:29 | INFO | utils | Saving model to: models\logit_model.joblib
2026-03-22 12:48:29 | INFO | utils | Model saved to models\logit_model.joblib
2026-03-22 12:48:29 | INFO | __main__ | Step 10 — Evaluating model on test set...
2026-03-22 12:48:29 | INFO | kmeans.kmeans_evaluate | Evaluating silhouette score
2026-03-22 12:48:29 | INFO | __main__ | Kmeans Metrics F1 (weighted): 0.5996
2026-03-22 12:48:29 | INFO | dtrees.dtrees_eval | Running predictions on test set...
2026-03-22 12:48:31 | INFO | dtrees.dtrees_eval | Classification Report:
              precision    recall  f1-score   support

     Absence     0.8774    0.8563    0.8668     69509
    Presence     0.8283    0.8528    0.8404     56491

    accuracy                         0.8548    126000
   macro avg     0.8529    0.8546    0.8536    126000
weighted avg     0.8554    0.8548    0.8549    126000

2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval | Metrics Summary:
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval |   TP                        48177
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval |   TN                        59522
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval |   FP                        9987
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval |   FN                        8314
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval |   Accuracy                  0.8547539682539682
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval |   Precision                 0.8282958531050134
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval |   Recall                    0.8528261138942487
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval |   Specificity               0.8563207642175833
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval |   F1-score                  0.8403820156120535
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval |   False Positive Rate       0.14367923578241668
2026-03-22 12:48:33 | INFO | dtrees.dtrees_eval | F1 Score: 0.8404
2026-03-22 12:48:33 | INFO | __main__ | Decision Tree Metrics F1 (weighted): 0.8403820156120535
2026-03-22 12:48:33 | INFO | logit_regression.logit_evaluate | Evaluating model on held-out test set
